Gene_Original	ID_UniProt	Nome_Proteina	Organismo	Status
IL17A	Q16552	Interleukin-17A	Homo sapiens	Encontrado
SMAD3	P84022	SMAD family member 3	Homo sapiens	Encontrado
MYC	P01106	Myc proto-oncogene protein	Homo sapiens	Encontrado
STAT3	P40763	Signal transducer and activator of transcription 3	Homo sapiens	Encontrado
BMP7	P18075	Bone morphogenetic protein 7	Homo sapiens	Encontrado
CCR7	P32248	C-C chemokine receptor type 7	Homo sapiens	Encontrado
SELL	P14151	L-selectin	Homo sapiens	Encontrado
CXCL2	P19875	C-X-C motif chemokine 2	Homo sapiens	Encontrado
IL1R1	P14778	Interleukin-1 receptor type 1	Homo sapiens	Encontrado
LTA	P01374	Lymphotoxin-alpha	Homo sapiens	Encontrado
CCL25	O15444	C-C motif chemokine 25	Homo sapiens	Encontrado
IL17RA	Q96F46	Interleukin-17 receptor A	Homo sapiens	Encontrado
MICA	Q29983	MHC class I polypeptide-related sequence A	Homo sapiens	Encontrado
HLA-B	P01889	HLA class I histocompatibility antigen, B alpha chain	Homo sapiens	Encontrado
TNF	P01375	Tumor necrosis factor	Homo sapiens	Encontrado
IL12B	P29460	Interleukin-12 subunit beta	Homo sapiens	Encontrado
NFKB1	P19838	Nuclear factor NF-kappa-B p105 subunit	Homo sapiens	Encontrado
JAK3	P52333	Tyrosine-protein kinase JAK3	Homo sapiens	Encontrado
PLCG1	P19174	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1	Homo sapiens	Encontrado
JAK2	O60674	Tyrosine-protein kinase JAK2	Homo sapiens	Encontrado
IL23A	Q9NPF7	Interleukin-23 subunit alpha	Homo sapiens	Encontrado
IL23R	Q5VWK5	Interleukin-23 receptor	Homo sapiens	Encontrado
ERAP1	Q9NZ08	Endoplasmic reticulum aminopeptidase 1	Homo sapiens	Encontrado
RUNX3	Q13761	Runt-related transcription factor 3	Homo sapiens	Encontrado
FOS	P01100	Protein c-Fos	Homo sapiens	Encontrado
JUN	P05412	Transcription factor Jun	Homo sapiens	Encontrado
JUNB	P17275	Transcription factor JunB	Homo sapiens	Encontrado
GZMK	P49863	Granzyme K	Homo sapiens	Encontrado
CD8A	P01732	T-cell surface glycoprotein CD8 alpha chain	Homo sapiens	Encontrado
CD160	O95971	CD160 antigen	Homo sapiens	Encontrado
GZMB	P10144	Granzyme B	Homo sapiens	Encontrado
NKG7	Q16617	Protein NKG7	Homo sapiens	Encontrado
CD19	P15391	B-lymphocyte antigen CD19	Homo sapiens	Encontrado
CD68	P34810	Macrosialin	Homo sapiens	Encontrado
S100A12	P80511	Protein S100-A12	Homo sapiens	Encontrado
CD83	Q01151	CD83 antigen	Homo sapiens	Encontrado
CX3CR1	P49238	CX3C chemokine receptor 1	Homo sapiens	Encontrado
CEBPA	P49715	CCAAT/enhancer-binding protein alpha	Homo sapiens	Encontrado
JUND	P17535	Transcription factor JunD	Homo sapiens	Encontrado
CEBPG	P53567	CCAAT/enhancer-binding protein gamma	Homo sapiens	Encontrado
FOSL1	P15407	Fos-related antigen 1	Homo sapiens	Encontrado
TBX21	Q9UL17	T-box transcription factor TBX21	Homo sapiens	Encontrado
RELA	Q04206	Transcription factor p65	Homo sapiens	Encontrado
PRDM1	O75626	PR domain zinc finger protein 1	Homo sapiens	Encontrado
TLR4	O00206	Toll-like receptor 4	Homo sapiens	Encontrado
EGFR	P00533	Epidermal growth factor receptor	Homo sapiens	Encontrado
SOD2	P04179	Superoxide dismutase [Mn], mitochondrial	Homo sapiens	Encontrado
VCAM1	P19320	Vascular cell adhesion protein 1	Homo sapiens	Encontrado
CTSB	P07858	Cathepsin B	Homo sapiens	Encontrado
TNFRSF1A	P19438	Tumor necrosis factor receptor superfamily member 1A	Homo sapiens	Encontrado
CD63	P08962	CD63 antigen	Homo sapiens	Encontrado
