Gene	Total_Variantes	Variantes_Com_Score_AM	Cobertura_AM_%	Score_Medio_AM	Score_Max_AM	Score_Min_AM	Variantes_Patogenicas	Variantes_Benignas
ABCB11	1684	828	49.2	0.3635	1.0	0.0	290	502
ABCD2	627	178	28.4	0.2897	1.0	0.0	42	128
ACE	1831	708	38.7	0.2844	1.0	0.0	167	494
ACKR2	824	114	13.8	0.2195	1.0	0.0	17	86
ACP5	432	264	61.1	0.2889	1.0	0.0	64	179
ACP7	541	152	28.1	0.3147	1.0	0.0	38	101
ADAMTS9	2157	700	32.5	0.2944	1.0	0.0	173	467
ADCY7	1036	232	22.4	0.2822	1.0	0.0	57	160
ADIPOQ	306	96	31.4	0.3801	1.0	0.0	31	56
AIM2	352	100	28.4	0.2233	1.0	0.0	15	79
AKAP13	3151	663	21.0	0.2322	1.0	0.0	127	507
ALB	620	0	0.0	N/A	N/A	N/A	0	0
ANKRD55	664	186	28.0	0.2656	1.0	0.0	34	131
ANXA1	369	74	20.1	0.2601	1.0	0.0	16	51
APOL1	509	182	35.8	0.3599	1.0	0.0	56	105
APOL6	401	136	33.9	0.3408	1.0	0.0	39	85
AQP1	298	72	24.2	0.2927	1.0	0.0	16	51
AREG	246	58	23.6	0.3056	1.0	0.0	16	40
ARHGEF3	692	140	20.2	0.2889	1.0	0.0	38	97
ATG16L1	489	146	29.9	0.3749	1.0	0.0	50	87
ATG5	1305	22	1.7	0.3052	1.0	0.0	7	15
ATOX1	69	18	26.1	0.2301	0.998	0.0	3	15
ATXN2L	1093	304	27.8	0.2883	1.0	0.0	75	213
BEND2	626	212	33.9	0.2993	1.0	0.0	50	143
BGLAP	117	36	30.8	0.3351	0.999	0.0	12	23
BMP2	492	246	50.0	0.3837	1.0	0.0	87	145
BMP7	534	230	43.1	0.276	1.0	0.0	60	166
BNIP3L	172	24	14.0	0.3107	0.879	0.0	7	14
BRAF	1595	732	45.9	0.2219	1.0	0.0	148	556
BTG1	149	36	24.2	0.204	0.953	0.0	4	30
C7ORF57	308	78	25.3	0.3017	1.0	0.0	19	52
CALD1	861	284	33.0	0.2005	1.0	0.0	49	226
CAPS2	729	0	0.0	N/A	N/A	N/A	0	0
CARD9	863	514	59.6	0.2575	1.0	0.0	106	371
CASP1	403	96	23.8	0.3117	1.0	0.0	25	64
CASP10	498	44	8.8	0.3608	1.0	0.0	13	27
CAST	575	0	0.0	N/A	N/A	N/A	0	0
CCL2	85	16	18.8	0.1595	0.52	0.015	0	14
CCL20	97	26	26.8	0.3976	1.0	0.0	11	14
CCL25	136	16	11.8	0.2861	1.0	0.0	3	12
CCL3	99	34	34.3	0.3466	1.0	0.0	13	21
CCL5	81	6	7.4	0.323	1.0	0.0	2	4
CCND3	434	52	12.0	0.3298	1.0	0.0	13	34
CCR2	285	16	5.6	0.2681	1.0	0.0	3	12
CCR6	324	94	29.0	0.3214	1.0	0.0	26	62
CCR7	367	144	39.2	0.2959	1.0	0.0	42	92
CCRL2	369	90	24.4	0.2748	1.0	0.0	18	61
CD14	427	92	21.5	0.2438	1.0	0.0	15	68
CD160	199	14	7.0	0.2745	0.956	0.0	4	10
CD19	627	274	43.7	0.3008	1.0	0.0	64	190
CD274	585	32	5.5	0.2658	0.913	0.0	6	23
CD28	191	54	28.3	0.381	1.0	0.0	21	33
CD36	948	168	17.7	0.3339	1.0	0.0	48	109
CD38	310	50	16.1	0.3557	1.0	0.0	17	29
CD3E	251	128	51.0	0.2873	1.0	0.0	29	85
CD4	412	80	19.4	0.3574	1.0	0.0	25	46
CD40	360	138	38.3	0.294	1.0	0.0	36	95
CD40LG	258	164	63.6	0.3186	1.0	0.0	47	106
CD52	74	18	24.3	0.4063	1.0	0.0	8	10
CD63	346	40	11.6	0.3118	1.0	0.0	10	26
CD68	393	102	26.0	0.2642	1.0	0.0	22	76
CD69	191	42	22.0	0.278	1.0	0.0	10	30
CD80	312	56	17.9	0.345	1.0	0.0	17	34
CD83	223	44	19.7	0.2451	0.997	0.0	9	31
CD86	321	110	34.3	0.3115	1.0	0.0	22	65
CD8A	351	194	55.3	0.3395	1.0	0.0	58	125
CD8B	256	72	28.1	0.3357	1.0	0.0	19	47
CDC42BPB	1561	500	32.0	0.2564	1.0	0.0	121	358
CEBPA	1143	882	77.2	0.3227	1.0	0.0	245	534
CEBPG	137	30	21.9	0.4177	0.999	0.0	12	16
CENPK	292	32	11.0	0.3035	1.0	0.0	9	22
CLEC2B	150	46	30.7	0.265	1.0	0.0	8	31
CLEC4D	273	98	35.9	0.2387	1.0	0.0	18	73
CLIC3	288	76	26.4	0.2955	1.0	0.0	20	50
CMTM2	273	86	31.5	0.2557	1.0	0.0	17	61
COL1A1	2536	1726	68.1	0.1121	1.0	0.0	153	1527
CRB1	2390	1546	64.7	0.3554	1.0	0.0	495	952
CREM	310	18	5.8	0.3432	0.999	0.0	5	11
CRP	266	88	33.1	0.3648	1.0	0.0	31	52
CSF2	131	28	21.4	0.33	1.0	0.0	9	17
CSN3	182	0	0.0	N/A	N/A	N/A	0	0
CSNK1A1	125	20	16.0	0.2088	0.995	0.0	3	17
CTLA4	245	131	53.5	0.1977	1.0	0.0	22	106
CTSB	558	144	25.8	0.3284	1.0	0.0	43	90
CTSK	335	144	43.0	0.3789	1.0	0.0	50	86
CUX1	1764	542	30.7	0.279	1.0	0.0	131	386
CX3CR1	392	126	32.1	0.3271	1.0	0.0	32	81
CXCL10	106	32	30.2	0.2075	1.0	0.0	5	26
CXCL13	87	10	11.5	0.356	1.0	0.0	3	7
CXCL16	270	48	17.8	0.2562	1.0	0.0	6	35
CXCL2	129	36	27.9	0.3182	1.0	0.0	10	25
CXCL8	107	12	11.2	0.2277	0.998	0.0	2	10
CXCR2	474	248	52.3	0.3185	1.0	0.0	74	165
CYCS	99	30	30.3	0.069	0.786	0.0	1	29
CYP1A1	624	182	29.2	0.3136	1.0	0.0	53	123
CYP4F22	710	330	46.5	0.3063	1.0	0.0	90	221
DDIT3	206	36	17.5	0.3086	0.999	0.0	8	24
DDX60	1496	322	21.5	0.2599	1.0	0.0	60	227
DKK1	312	114	36.5	0.3439	1.0	0.0	35	71
DLAT	704	200	28.4	0.2135	1.0	0.0	34	155
DNAJA2	295	54	18.3	0.2615	0.998	0.0	11	39
DNAJB6	583	330	56.6	0.1839	1.0	0.0	48	265
DUSP4	369	72	19.5	0.2059	1.0	0.0	10	59
DYSF	3039	1862	61.3	0.2383	1.0	0.0	418	1383
EDNRA	284	80	28.2	0.3354	1.0	0.0	24	50
EFCAB13	939	194	20.7	0.3149	1.0	0.0	50	124
EFCAB7	580	122	21.0	0.2935	1.0	0.0	35	79
EGF	1305	496	38.0	0.3029	1.0	0.0	126	338
EGFR	4187	2594	62.0	0.3087	1.0	0.0	707	1728
EGR3	300	64	21.3	0.3187	0.993	0.0	19	40
EIF5B	948	190	20.0	0.2172	1.0	0.0	31	146
ENO1	437	98	22.4	0.221	1.0	0.0	20	75
EOMES	714	178	24.9	0.2794	1.0	0.0	40	126
ERAP1	1041	174	16.7	0.3079	1.0	0.0	47	119
ERAP2	950	182	19.2	0.2908	1.0	0.0	43	129
ERN1	930	272	29.2	0.2941	1.0	0.0	70	186
ERP44	296	94	31.8	0.1912	1.0	0.0	16	77
EZH2	742	52	7.0	0.3002	1.0	0.0	13	32
FAXDC2	332	58	17.5	0.2657	0.997	0.0	13	41
FCGR1A	353	92	26.1	0.2905	1.0	0.0	19	60
FCGR2A	397	116	29.2	0.2921	1.0	0.0	27	76
FCGR3A	337	72	21.4	0.3372	1.0	0.0	24	47
FGB	581	206	35.5	0.3103	1.0	0.0	59	135
FNBP1	582	150	25.8	0.2617	1.0	0.0	35	105
FOS	402	108	26.9	0.3612	0.998	0.0	34	66
FOSL1	261	50	19.2	0.3268	0.999	0.0	15	34
FOSL2	299	114	38.1	0.3535	1.0	0.0	38	71
FOXP3	484	306	63.2	0.2767	1.0	0.0	67	221
FRZB	361	112	31.0	0.3468	1.0	0.0	35	70
FUT2	375	44	11.7	0.4095	1.0	0.0	17	26
